episode,epsilon,random_agent_wins,random_opponent_wins,random_draws,random_avg_turns,random_avg_agent_balance,heur_agent_wins,heur_opponent_wins,heur_draws,heur_avg_turns,heur_avg_agent_balance,self_agent_wins,self_opponent_wins,self_draws,self_avg_turns
700,0.05,0,0,3,61.0,119.33,0,0,3,56.67,72.33,3,0,0,27.0
800,0.05,0,0,3,61.0,44.67,0,0,3,61.0,60.33,3,0,0,27.0
900,0.05,0,0,3,61.0,90.67,0,0,3,61.0,85.33,3,0,0,27.0
1000,0.05,0,0,3,61.0,43.67,0,0,3,51.33,45.0,3,0,0,27.0
100,0.60577,0,0,3,61.0,40.33,0,0,3,61.33,40.33,0,0,3,58.67
200,0.366958,0,0,3,61.0,49.33,0,0,3,56.0,70.33,0,0,3,61.0
300,0.222292,0,0,3,42.33,62.67,0,0,3,50.0,45.33,0,0,3,58.33
400,0.134658,0,0,3,59.33,54.0,0,0,3,61.0,8.67,0,1,2,47.33
500,0.081572,0,0,3,61.0,100.67,0,0,3,61.0,25.67,0,0,3,61.0
600,0.05,0,0,3,23.67,107.33,0,0,3,61.33,33.67,0,0,3,61.33
700,0.05,1,0,2,56.0,93.0,0,0,3,61.0,44.67,0,0,3,61.0
800,0.05,0,0,3,61.0,69.33,0,0,3,61.0,79.0,0,0,3,61.0
900,0.05,0,0,3,42.0,88.67,0,0,3,61.0,43.67,0,0,3,61.0
1000,0.05,0,0,3,60.33,77.0,0,0,3,61.0,21.0,0,0,3,61.33
100,0.60577,0,0,3,61.0,104.0,0,0,3,44.0,71.33,0,0,3,61.0
200,0.366958,0,0,3,61.0,60.0,0,0,3,59.67,85.33,1,0,2,43.33
300,0.222292,0,0,3,61.0,48.0,0,0,3,55.33,57.33,2,0,1,31.67
400,0.134658,0,0,3,61.67,59.33,0,0,3,44.0,115.33,0,0,3,61.0
500,0.081572,1,0,2,27.67,151.67,0,0,3,26.67,101.33,2,0,1,38.33
